id,POPULATION_SIZE,MAX_GENERATIONS,CROSSOVER_RATE,MUTATION_RATE,PERMUTATION_RATE,INVERSION_RATE,WHITE_WEIGHT,BLACK_WEIGHT,max,min,mean,std
4,60,10,1,0.03,0.03,0.03,1,2,7.00,1.00,4.59,0.84
5,60,100,1,0.03,0.03,0.03,1,2,7.00,1.00,4.59,0.82
6,60,100,0.7,0.03,0.03,0.03,1,2,10.00,3.00,6.38,0.90
7,60,100,0.7,0.03,0.03,0.03,1,2,7.00,1.00,4.49,0.85
8,120,100,0.7,0.03,0.03,0.03,1,2,7.00,1.00,4.51,0.86
9,120,100,0.7,0.03,0.03,0.03,1,2,8.00,1.00,4.53,0.87
10,100,100,0.7,0.03,0.03,0.03,1,2,7.00,1.00,4.53,0.86
11,100,100,0.7,0.03,0.03,0.03,1,2,7.00,1.00,4.53,0.85
12,100,100,0.7,0.03,0.03,0.03,1,2,9.00,2.00,5.74,0.91
13,100,100,0.7,0.03,0.03,0.03,1,2,9.00,2.00,5.71,0.93
14,100,100,0.7,0.03,0.03,0.03,1,2,7.00,1.00,4.49,0.88
15,100,120,0.7,0.1,0.1,0.1,1,2,7.00,1.00,4.64,0.87
16,100,120,0.7,0.03,0.03,0.03,1,3,7.00,1.00,4.53,0.86
17,80,100,0.7,0.03,0.03,0.03,1,1,7.00,1.00,4.50,0.83
18,80,100,0.7,0.03,0.03,0.03,1,1,7.00,1.00,4.54,0.83
19,80,100,0.7,0.03,0.03,0.03,1,1,7.00,1.00,4.52,0.87
20,80,100,0.7,0.03,0.03,0.03,1,2,7.00,1.00,4.52,0.85
21,80,100,0.7,0.03,0.03,0.03,1,2,7.00,1.00,4.56,0.86
22,80,100,0.7,0.03,0.03,0.03,1,2,7.00,1.00,4.56,0.84
23,60,100,0.7,0.03,0.03,0.03,1,2,7.00,1.00,4.55,0.85
24,60,100,0.7,0.03,0.03,0.03,1,2,7.00,1.00,4.54,0.86
